Datetime,2015-12-04-18-23-58,,,,
Monitoring type,perfect,,,,
RandomSeed,282,,,,
Repeats,1000,,,,
Average ts_length,32.856,,,,
Number of strategies,10,,,,
Str_numbers,Strategy name,Avarage(session based),Rank(session based),Avarage(stage based),Rank(stage based)
1,Iida_perfect_monitoring.Iida_pm,3.63848614083,7,3.38676514352,8
2,mhanami_Public_Strategy.PubStrategy,3.69574575594,4,3.56056394232,4
3,kato.KatoStrategy,3.04609079382,10,2.71373738603,10
4,ikegami_perfect.Self_Centered_perfect,3.70916344072,2,3.56982320158,2
5,tsuyoshi.GrimTrigger,3.61764421404,8,3.40878378378,7
6,gistfile1.MyStrategy,3.68924004635,6,3.52195945946,6
7,beeleb_Strategy.beeleb,3.70713224232,3,3.56862944025,3
8,oyama.OyamaPerfectMonitoring,3.69558528238,5,3.56009725942,5
9,ogawa.ogawa,3.47969355562,9,3.13531775018,9
10,yamagishi_impd.yamagishi,3.78554233284,1,3.69566525985,1
