Datetime,2015-12-04-19-27-41,,,,,
Monitoring type,public,,,,,
RandomSeed,282,,,,,
Repeats,1000,,,,,
Average ts_length,32.856,,,,,
Number of strategies,10,,,,,
Str_numbers,Strategy name,Avarage(session based),Rank(session based),Avarage(stage based),Rank(stage based),îıçl
1,Iida_imperfect_public.Iida_ipm,3.15370844,5,2.949672646,5,
2,mhanami_Imperfect_Public_Strategy.ImPubStrategy,3.426505902,1,3.085798636,1,ALLD
3,kato.KatoStrategy,3.300688557,2,3.082721235,2,
4,ikegami_imperfect_public.Self_Centered_public,3.204767877,3,3.024595541,4,25%
5,tsuyoshi.GrimTrigger,2.873939966,8,2.566333225,8,TFT'
6,gistfile1.MyStrategy,2.781473904,10,2.45014271,10,TFT
7,beeleb_Strategy.beeleb,2.80155086,9,2.545187079,9,
8,oyama.OyamaImperfectPublicMonitoring,3.164308602,4,3.06851446,3,GT'
9,ogawa.ogawa,3.02123959,7,2.910746896,6,
10,yamagishi_impd.yamagishi,3.060373179,6,2.824435922,7,TFT
